family,lead,target,tf,L,H,direction,thr_name,n,mean_net,t,p,q,ic_L1H1,robust
F2,BCH-USD,DOGE-USD,1d,1,1,rev,p70,198,0.0071908,1.7288,0.042703,1,-0.023833,True
F2,BCH-USD,DOGE-USD,1h,3,3,rev,p80,860,-0.0028516,-3.7065,0.99995,1,-0.007448,False
F2,BCH-USD,DOGE-USD,4h,3,3,rev,p80,214,-0.002361,-0.87009,0.8241,1,0.0012975,False
F2,BCH-USD,DOT-USD,1d,3,3,cont,p70,97,0.01166,1.3159,0.095668,1,-0.03009,True
F2,BCH-USD,DOT-USD,1h,3,3,rev,p80,860,-0.0028817,-3.8745,0.99994,1,-0.019907,False
F2,BCH-USD,DOT-USD,4h,3,3,rev,p80,214,-0.0017447,-0.62856,0.74639,1,-0.0087325,False
F2,BCH-USD,ETH-USD,1d,3,3,cont,p70,110,0.013704,2.1167,0.018281,1,-0.062537,True
F2,BCH-USD,ETH-USD,1h,1,1,cont,0,7918,-0.0040168,-50.107,1,1,-0.0078293,False
F2,BCH-USD,ETH-USD,4h,3,3,rev,p80,214,-0.0037173,-1.7318,0.96905,1,0.023964,False
F2,BCH-USD,LINK-USD,1d,3,3,cont,p70,110,0.016386,2.2245,0.014087,1,-0.065027,True
F2,BCH-USD,LINK-USD,1h,3,3,rev,p80,860,-0.0022273,-2.9388,0.99831,1,-0.029694,False
F2,BCH-USD,LINK-USD,4h,3,3,rev,p80,214,-0.0012605,-0.42977,0.6765,1,-0.0042063,False
F2,BCH-USD,LTC-USD,1d,3,3,cont,p70,110,0.0095005,1.4674,0.072579,1,-0.055111,True
F2,BCH-USD,LTC-USD,1h,3,3,rev,p80,860,-0.0029311,-4.109,0.99998,1,-0.027569,False
F2,BCH-USD,LTC-USD,4h,3,3,rev,p80,214,-0.0023922,-0.90288,0.8319,1,-0.004571,False
F2,BCH-USD,SHIB-USD,1d,3,3,cont,p70,89,0.04216,2.1676,0.016445,1,-0.016151,True
F2,BCH-USD,SHIB-USD,1h,3,3,rev,p80,860,-0.0032635,-4.9061,1,1,-0.017658,False
F2,BCH-USD,SHIB-USD,4h,3,3,rev,p80,214,-0.0012916,-0.52513,0.70902,1,-0.014739,False
F2,BCH-USD,SOL-USD,1d,2,2,cont,0,386,0.0074324,1.8932,0.029538,1,-0.030132,True
F2,BCH-USD,SOL-USD,1h,3,3,rev,p80,860,-0.0027138,-4.3986,0.99999,1,-0.030961,False
F2,BCH-USD,SOL-USD,4h,3,3,cont,p80,225,-0.0029302,-1.4561,0.92661,1,0.0010946,False
F2,BCH-USD,UNI-USD,1d,1,1,rev,p70,214,0.006488,1.243,0.10761,1,-0.066332,False
F2,BCH-USD,UNI-USD,1h,3,3,rev,p80,860,-0.0031675,-3.9592,0.99996,1,-0.020298,False
F2,BCH-USD,UNI-USD,4h,3,3,rev,p80,214,-0.0002953,-0.10032,0.54233,1,0.00025943,False
F2,BCH-USD,XLM-USD,1d,1,1,rev,p70,214,0.0070868,1.9077,0.028886,1,-0.034029,False
F2,BCH-USD,XLM-USD,1h,3,3,rev,p80,860,-0.0027338,-3.5838,0.99986,1,-0.025608,False
F2,BCH-USD,XLM-USD,4h,3,3,rev,p80,214,0.0033704,1.0736,0.14212,1,-0.017323,False
F2,BCH-USD,XRP-USD,1d,3,3,cont,p70,44,0.025274,1.6943,0.048721,1,0.031859,True
F2,BCH-USD,XRP-USD,1h,3,3,rev,p80,860,-0.0024933,-3.4175,0.99967,1,-0.03936,False
F2,BCH-USD,XRP-USD,4h,3,3,rev,p80,214,0.0024106,0.82931,0.20393,1,-0.029603,False
F2,BTC-USD,ADA-USD,1d,1,1,rev,p80,129,0.0096692,1.7018,0.045611,1,-0.084052,True
F2,BTC-USD,ADA-USD,1h,3,3,rev,p80,834,-0.0030837,-3.0423,0.99879,1,-0.027015,False
F2,BTC-USD,ADA-USD,4h,3,3,rev,p80,199,-0.0011516,-0.36889,0.64867,1,0.0047461,False
F2,BTC-USD,ATOM-USD,1d,1,1,rev,p70,196,0.008727,1.5678,0.059272,1,-0.046382,True
F2,BTC-USD,ATOM-USD,1h,1,1,cont,0,8062,-0.0042214,-45.342,1,1,-0.023112,False
F2,BTC-USD,ATOM-USD,4h,3,3,rev,p80,199,-0.0051469,-1.8128,0.96533,1,0.0046413,False
F2,BTC-USD,AVAX-USD,1d,3,3,cont,p80,71,0.013921,1.2706,0.10404,1,-0.035559,True
F2,BTC-USD,AVAX-USD,1h,1,1,cont,0,8062,-0.0041329,-40.876,1,1,-0.012794,False
F2,BTC-USD,AVAX-USD,4h,3,3,rev,p80,199,-0.0026235,-0.89212,0.81592,1,-0.013986,False
F2,BTC-USD,BCH-USD,1d,2,2,cont,p70,170,0.007907,1.2662,0.10358,1,-0.0315,True
F2,BTC-USD,BCH-USD,1h,1,1,cont,0,8062,-0.0040633,-44.511,1,1,-0.0070659,False
F2,BTC-USD,BCH-USD,4h,3,3,rev,p80,199,-0.0015052,-0.58156,0.71924,1,0.01082,False
F2,BTC-USD,DOGE-USD,1d,3,3,cont,p80,77,0.021124,1.6298,0.053647,1,-0.053835,True
F2,BTC-USD,DOGE-USD,1h,1,1,cont,0,8062,-0.0040846,-38.116,1,1,-0.014865,False
F2,BTC-USD,DOGE-USD,4h,3,3,cont,p80,210,-0.0011956,-0.41923,0.66226,1,0.00070932,False
F2,BTC-USD,DOT-USD,1d,3,3,cont,p80,77,0.010298,0.94187,0.17462,1,-0.051922,True
F2,BTC-USD,DOT-USD,1h,1,1,cont,0,8062,-0.0041547,-41.229,1,1,-0.018686,False
F2,BTC-USD,DOT-USD,4h,3,3,rev,p80,199,-0.0027949,-0.93388,0.82576,1,-0.011847,False
F2,BTC-USD,ETH-USD,1d,3,3,cont,0,321,0.0047323,1.4167,0.07877,1,-0.026412,True
F2,BTC-USD,ETH-USD,1h,1,1,cont,0,8062,-0.0039815,-50.569,1,1,-0.0018962,False
F2,BTC-USD,ETH-USD,4h,3,3,cont,p80,210,-0.002325,-1.0869,0.86083,1,0.027384,False
F2,BTC-USD,LINK-USD,1d,3,3,cont,p70,132,0.013077,1.6216,0.053646,1,-0.03892,True
F2,BTC-USD,LINK-USD,1h,3,3,rev,p80,834,-0.0033659,-4.4265,0.99999,1,-0.013598,False
F2,BTC-USD,LINK-USD,4h,3,3,rev,p80,199,-0.0023072,-0.72826,0.76982,1,-0.00088979,False
F2,BTC-USD,LTC-USD,1d,3,3,cont,p80,83,0.0054036,0.72583,0.235,1,-0.016047,True
F2,BTC-USD,LTC-USD,1h,1,1,cont,0,8062,-0.0041535,-46.616,1,1,-0.024382,False
F2,BTC-USD,LTC-USD,4h,3,3,rev,p80,199,-0.0014432,-0.50865,0.69808,1,0.0049807,False
F2,BTC-USD,SHIB-USD,1d,2,2,cont,p70,139,0.015932,1.8425,0.033773,1,-0.037526,True
F2,BTC-USD,SHIB-USD,1h,1,1,cont,0,8062,-0.004153,-42.891,1,1,-0.02047,False
F2,BTC-USD,SHIB-USD,4h,3,3,rev,p80,199,-0.00093419,-0.37395,0.64597,1,-0.014823,False
F2,BTC-USD,SOL-USD,1d,3,3,cont,0,286,0.011285,2.0436,0.020956,1,-0.024839,True
F2,BTC-USD,SOL-USD,1h,1,1,cont,0,8062,-0.004107,-43.642,1,1,-0.017509,False
F2,BTC-USD,SOL-USD,4h,3,3,rev,p80,199,-0.0023963,-0.95534,0.82971,1,0.019903,False
